,id,is_leaf,samples,feature,threshold,left,right,class
0,0,False,1953,Страшные,0.5,1.0,46.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
1,1,False,257,Тематика_общая_Сверхъестественное и ужасы,0.5,2.0,31.0,19 Приключения Головоломки
2,2,False,207,Тематика_фэнтези_Магия,0.5,3.0,18.0,19 Приключения Головоломки
3,3,False,127,Жанр_Детектив,0.5,4.0,11.0,19 Приключения Головоломки
4,4,False,35,Тематика_общая_Приключения и сокровища,0.5,5.0,8.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
5,5,False,24,Локации_выживание_Лабиринт,0.5,6.0,7.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
6,6,True,20,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
7,7,True,4,,,,,19 Приключения Головоломки
8,8,False,11,Формат_Семейный квест,0.5,9.0,10.0,19 Приключения Головоломки
9,9,True,6,,,,,19 Приключения Головоломки
10,10,True,5,,,,,17 Хоррор Триллер Выживание
11,11,False,92,Тематика_искусство_Театр,0.5,12.0,15.0,19 Приключения Головоломки
12,12,False,78,Тематика_Игры по книгам,0.5,13.0,14.0,19 Приключения Головоломки
13,13,True,73,,,,,19 Приключения Головоломки
14,14,True,5,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
15,15,False,14,Тематика_искусство_Музыкальные выступления,0.5,16.0,17.0,12 Опасные эксперименты (иногда с выживанием и хо...
16,16,True,9,,,,,12 Опасные эксперименты (иногда с выживанием и хо...
17,17,True,5,,,,,19 Приключения Головоломки
18,18,False,80,Тематика_фантастика_Наука и ученые,0.5,19.0,26.0,19 Приключения Головоломки
19,19,False,46,Жанр_Сатира/Комедия,0.5,20.0,23.0,19 Приключения Головоломки
20,20,False,34,Тематика_Форт Боярд,0.5,21.0,22.0,19 Приключения Головоломки
21,21,True,29,,,,,19 Приключения Головоломки
22,22,True,5,,,,,19 Приключения Головоломки
23,23,False,12,Декорации_фантастические_Постапокалиптический мир,0.5,24.0,25.0,19 Приключения Головоломки
24,24,True,6,,,,,19 Приключения Головоломки
25,25,True,6,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
26,26,False,34,Приключения_и_поиск_Расследования,0.5,27.0,28.0,19 Приключения Головоломки
27,27,True,6,,,,,19 Приключения Головоломки
28,28,False,28,Жанр_Научная фантастика,0.5,29.0,30.0,19 Приключения Головоломки
29,29,True,3,,,,,19 Приключения Головоломки
30,30,True,25,,,,,19 Приключения Головоломки
31,31,False,50,Тематика_общая_Игры и конкурсы,0.5,32.0,43.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
32,32,False,37,Сюжет_детективы_Происшествия с реальными людьми,0.5,33.0,38.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
33,33,False,21,Тематика_фантастика_Вирусы,0.5,34.0,37.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
34,34,False,16,Профессия_Шпионы,0.5,35.0,36.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
35,35,True,14,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
36,36,True,2,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
37,37,True,5,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
38,38,False,16,Локации_выживание_Шахта,0.5,39.0,42.0,19 Приключения Головоломки
39,39,False,10,Декорации_прошлое_Древний Рим,0.5,40.0,41.0,19 Приключения Головоломки
40,40,True,8,,,,,19 Приключения Головоломки
41,41,True,2,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
42,42,True,6,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
43,43,False,13,Жанр_Сказка,0.5,44.0,45.0,19 Приключения Головоломки
44,44,True,9,,,,,17 Хоррор Триллер Выживание
45,45,True,4,,,,,19 Приключения Головоломки
46,46,False,1696,Декорации_заброшенные_Дом маньяка,0.5,47.0,76.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
47,47,False,939,Декорации_магические_Страна Чудес,0.5,48.0,61.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
48,48,False,831,Декорации_заброшенные_Психиатрическая больница,0.5,49.0,54.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
49,49,False,385,Игры_и_конкурсы_Игры на автомобиле,0.5,50.0,53.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
50,50,False,377,Жанр_Мистика,0.5,51.0,52.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
51,51,True,145,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
52,52,True,232,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
53,53,True,8,,,,,17 Хоррор Триллер Выживание
54,54,False,446,Сюжет_детективы_Журналистское расследование,0.5,55.0,58.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
55,55,False,391,Декорации_фантастические_Виртуальный мир,0.5,56.0,57.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
56,56,True,376,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
57,57,True,15,,,,,12 Опасные эксперименты (иногда с выживанием и хо...
58,58,False,55,Возраст_от 30 лет,0.5,59.0,60.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
59,59,True,52,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
60,60,True,3,,,,,19 Приключения Головоломки
61,61,False,108,Формат_Прятки,0.5,62.0,69.0,17 Хоррор Триллер Выживание
62,62,False,61,Локации_выживание_Лабиринт,0.5,63.0,66.0,17 Хоррор Триллер Выживание
63,63,False,37,Декорации_заброшенные_Психиатрическая больница,0.5,64.0,65.0,17 Хоррор Триллер Выживание
64,64,True,25,,,,,19 Приключения Головоломки
65,65,True,12,,,,,17 Хоррор Триллер Выживание
66,66,False,24,"Декорации_прошлое_Прошлое (не обязательно про историю, прошлое человека, сюжет, связанный с прошлыми действиями)",0.5,67.0,68.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
67,67,True,16,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
68,68,True,8,,,,,19 Приключения Головоломки
69,69,False,47,Сюжет_детективы_Расследования Шерлока Холмса,0.5,70.0,73.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
70,70,False,27,Тематика_общая_Герои и боевые игры,0.5,71.0,72.0,17 Хоррор Триллер Выживание
71,71,True,22,,,,,12 Опасные эксперименты (иногда с выживанием и хо...
72,72,True,5,,,,,17 Хоррор Триллер Выживание
73,73,False,20,Профессия_Шпионы,0.5,74.0,75.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
74,74,True,13,,,,,12 Опасные эксперименты (иногда с выживанием и хо...
75,75,True,7,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
76,76,False,757,Тематика_фантастика_Вирусы,0.5,77.0,90.0,17 Хоррор Триллер Выживание
77,77,False,693,Формат_VR-квест,0.5,78.0,83.0,17 Хоррор Триллер Выживание
78,78,False,611,Игры_и_конкурсы_Игры на автомобиле,0.5,79.0,82.0,17 Хоррор Триллер Выживание
79,79,False,604,Декорации_магические_Страна Чудес,0.5,80.0,81.0,17 Хоррор Триллер Выживание
80,80,True,576,,,,,17 Хоррор Триллер Выживание
81,81,True,28,,,,,17 Хоррор Триллер Выживание
82,82,True,7,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
83,83,False,82,Декорации_магические_Лабиринт чужого разума,0.5,84.0,87.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
84,84,False,56,Тематика_общая_Выживание и побег,0.5,85.0,86.0,17 Хоррор Триллер Выживание
85,85,True,12,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
86,86,True,44,,,,,17 Хоррор Триллер Выживание
87,87,False,26,Тематика_герои_Комиксы,0.5,88.0,89.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
88,88,True,24,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
89,89,True,2,,,,,17 Хоррор Триллер Выживание
90,90,False,64,Тематика_фэнтези_Сказки,0.5,91.0,98.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
91,91,False,55,Локации_выживание_Лабиринт,0.5,92.0,95.0,"2 Паранормальные явления с Мистикой, Заброшенным..."
92,92,False,25,Локации_Современная лаборатория,0.5,93.0,94.0,17 Хоррор Триллер Выживание
93,93,True,17,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
94,94,True,8,,,,,17 Хоррор Триллер Выживание
95,95,False,30,Декорации_прошлое_Средневековье,0.5,96.0,97.0,12 Опасные эксперименты (иногда с выживанием и хо...
96,96,True,18,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
97,97,True,12,,,,,12 Опасные эксперименты (иногда с выживанием и хо...
98,98,True,9,,,,,"2 Паранормальные явления с Мистикой, Заброшенным..."
